"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2019-217492","特願2019-105632","2019/06/05","2019/12/26","二酸化炭素回収システム","ヤンマー株式会社","B01D53/92,240,B01D53/92,331,B01D53/96,B01D53/14,210,F02C6/00@E","(57)【要約】
【課題】エンジンの稼動に影響せず、エンジンの排気ガ<BR>スに含まれる二酸化炭素を効率良く回収できる二酸化炭<BR>素回収システムを提供する。
【解決手段】二酸化炭素回収システム１００は、二酸化<BR>炭素吸収部１と、排気ガス供給経路３０と、排気ガス昇<BR>圧装置３３と、制御装置５と、を備え、エンジン１０の<BR>排気ガスからＣＯ2を分離して回収する。二酸化炭素吸<BR>収部１は、排気ガスをリーン吸収液と接触させ、排気ガ<BR>スに含まれるＣＯ2をリーン吸収液に吸収させる。排気<BR>ガス供給経路３０は、排気ガスをエンジン１０から二酸<BR>化炭素吸収部１に供給する。排気ガス昇圧装置３３は、<BR>排気ガスが流れる方向において、二酸化炭素吸収部１の<BR>上流側の排気ガス供給経路３０に設けられ、排気ガスを<BR>昇圧する。制御装置５は、エンジン１０の回転数又は回<BR>転数の変化に伴って変化するパラメータに応じて、排気<BR>ガス昇圧装置３３による排気ガスの目標昇圧量を制御す<BR>る。
【選択図】図１
","特開2019-217492","","特許7251720","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-217492/1C33E884425EC7379299F772EBDD5990BFC4B21D5E07EE52DD28D101DFAFB215/11/ja"
"特開2019-217442","特願2018-115791","2018/06/19","2019/12/26","反応装置","トヨタ自動車株式会社,株式会社豊田中央研究所","B01J19/24@Z,B01D53/62,B01D53/04,230,B01D53/26,230,B01D53/86,222,B01D53/86,245,B01D53/04,110,B01J20/08@Z,B81B1/00","(57)【要約】
【課題】一方向に流れる流体が一方向に延びた反応路に<BR>流入し、反応路から一方向へ流出する場合と比して、流<BR>体の圧力損失が高くなるのを抑制した上で、流体に含ま<BR>れている物質と反応部材との反応量を増やすことができ<BR>る反応装置を得る。
【解決手段】反応部材で形成されている反応路３２、一<BR>方向に延びている流入路１２と、一方向に延びている流<BR>出路２２との間で、一方向に並んで複数配置され、流入<BR>路１２と流出路２２とを交差方向に繋いでいる。
【選択図】図１
","特開2019-217442","","特許7235382","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-217442/40076D017ACB241E203347EAF806C0D2BA04C84BCF22FD2293F6B40B093044F1/11/ja"
"特開2019-217441","特願2018-115754","2018/06/19","2019/12/26","二酸化炭素回収システム","ヤンマー株式会社","B01D53/18,F01N3/08@Z,B01D53/92,240,B01D53/92,331,C01B32/50","(57)【要約】
【課題】システム全体としての吸収液の量を高い精度で<BR>取得できる二酸化炭素回収システムを提供する。
【解決手段】二酸化炭素回収システム１００は、二酸化<BR>炭素吸収部１と、液面レベル取得部５０と、リッチ吸収<BR>液循環経路４１と、リーン吸収液循環経路４２と、リー<BR>ン吸収液ポンプ４６と、制御装置５と、を備える。リー<BR>ン吸収液循環経路４２は、二酸化炭素吸収部１から排出<BR>され、ＣＯ2が分離された吸収液を二酸化炭素吸収部１<BR>内に還流させる。制御装置５は、当該二酸化炭素回収シ<BR>ステム１００が停止した後、リーン吸収液循環経路４２<BR>に設けられたリーン吸収液ポンプ４６を継続稼動時間Ｔ<BR>P時間駆動させる。液面レベル取得部５０は、二酸化炭<BR>素回収システム１００が停止した後、継続稼動時間ＴP<BR>時間経過後に、二酸化炭素吸収部１内の吸収液の液面レ<BR>ベルを取得する。
【選択図】図１
","特開2019-217441","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-217441/C02A36EDF5D52B852271C17DE0E0BD9EAE23C33E9FA44E573CF3ED3DC8C71CBE/11/ja"
"特開2019-217430","特願2018-114948","2018/06/15","2019/12/26","二酸化炭素吸収材、二酸化炭素吸収装置、二酸化炭素吸収方法、および電子機器","シャープ株式会社,国立大学法人埼玉大学","B01J20/10@C,B01D53/14,100,B01J20/34@H,C01B33/32,A62B19/00","(57)【要約】
【課題】ＣＯ２吸収材におけるＣＯ２吸収速度を従来よ<BR>りも向上させる。
【解決手段】水分とＣＯ２とを含む気体中から、当該気<BR>体中に含まれるＣＯ２を吸収するＣＯ２吸収材（１０）<BR>は、リチウムナトリウムシリケートを含んでいる。
【選択図】図１
","特開2019-217430","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-217430/5F00C8BFDDB63362CDC0D2ECBE2DBD5E54F118EF97495D6F4C302DE160ACE011/11/ja"
"再表2019/240028","特願2019-556292","2019/06/07","2019/12/19","ガス吸収精製装置","ＪＦＥエンジニアリング株式会社","B01D53/18,170,B01D53/62,B01D53/78,B01D53/96,B01D53/14,220,C01B32/50","(57)【要約】
  処理対象ガス中から特定のガス成分を吸収液によって<BR>選択的に吸収して精製するガス吸収精製装置において、<BR>吸収液や残ガスをその後のプロセスに移送するためのポ<BR>ンプ等の機器やその動力を削減できるガス吸収精製装置<BR>を提供する。
  本発明に係るガス吸収精製装置１は、被吸収ガスと濃<BR>吸収液を接触させると共に昇圧して前記被吸収ガス中の<BR>特定のガス成分を前記濃吸収液に吸収させて希吸収液と<BR>するインジェクタ３と、インジェクタ３で昇圧された希<BR>吸収液及び残ガスの供給を受けて気液分離する気液分離<BR>器５と、気液分離器５で分離された希吸収液の供給を受<BR>けて該希吸収液を濃吸収液に再生する再生塔７と、再生<BR>塔７で再生された濃吸収液をインジェクタ３に供給する<BR>濃吸収液供給ライン９と、濃吸収液供給ライン９に設け<BR>られて供給する濃吸収液の流量を調整する流量調整弁１<BR>１とを備えてなる。
","WO2019/240028","","特許6658996","","再表2019/240028","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-240028/88B2BA2A611793A9203C7434C44D69F025FB6E29F6E0A73B2EABC0F44E25353F/19/ja"
"特開2019-209293","特願2018-109482","2018/06/07","2019/12/12","二酸化炭素吸着材およびその製造方法","大阪瓦斯株式会社","B01J20/22@A,B01J20/30,C01B32/50,D06M13/332,D06M101:40,B01J20/20@E,B01D53/62,C01B32/30,C01B32/318,C01B32/33,C01B32/336,C01B32/354,C01B32/372","(57)【要約】      （修正有）
【課題】相対湿度の高い環境中でも二酸化炭素吸着能力が高く維持される二酸化炭素吸着<BR>材を提供する。
【解決手段】炭素系吸着材として例えばＰＡＮ系活性炭素繊維、ピッチ系活性炭素繊維に<BR>、アミン化合物、例えば、エチレンジアミン、ジエチレンテトラミンを担持してなり、炭<BR>素系吸着材の表面が疎水性である。
【選択図】なし
","特開2019-209293","","特許7004611","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-209293/6AB51B017637B0A2C2C3E24B611A8F8076430A8A0ED35D601B43D0E6680F68C3/11/ja"
"特開2019-209228","特願2018-104905","2018/05/31","2019/12/12","二酸化炭素吸収装置、二酸化炭素吸収材、二酸化炭素吸収方法、および電子機器","シャープ株式会社","B01D53/14,100,A61L9/01@Q,A61L9/12,B01J20/10@A","(57)【要約】
【課題】水分を含むＣＯ２吸収材の吸収性能の低下を、<BR>室温程度の温度下で簡便かつ安価に検出する。
【解決手段】ＣＯ２吸収材（１０）は、水分およびＬｉ<BR>４ＳｉＯ４を含んでいる。水分量検出部（１１）は、Ｃ<BR>Ｏ２吸収材（１０）から放出される水分の量である第１<BR>水分量を検出する。
【選択図】図１
","特開2019-209228","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-209228/A14E31B94F657585B8816BE55CCF284BA3EDE1DF051DD93924B9918EFD5ADE55/11/ja"
"特開2019-205997","特願2019-091835","2019/05/15","2019/12/05","電気化学式二酸化炭素変換器及び液体再生器","ハネウェル・インターナショナル・インコーポレーテッド","B01D53/14,200,B64G1/48,B01D53/22,B01D61/36,C02F1/44@A,B01D53/14,220,C02F1/461@Z,C01B32/50,C25B9/00@Z,C25B9/00@G,C25B9/01,C25B9/13,C25B9/60,C25B1/23,C25B9/00@A,C25B1/04","(57)【要約】      （修正有）
【課題】気液接触分離及び電気化学セルを使用した二酸<BR>化炭素変換の装置及び方法の提供。
【解決手段】環境１４０用の二酸化炭素変換システム１<BR>００は、環境の下流にある第１の気液接触器－分離器１<BR>０２と、第１の気液接触器－分離器の下流にある電気化<BR>学変換セル１３０と、第１の気液接触器－分離器と電気<BR>化学変換セルとの間に介在する洗浄されたイオン液体貯<BR>蔵器１０５と、を含む。
【選択図】図１
","特開2019-205997","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-205997/C332A68CC63A5E1EAF4AEDCB48BEDCC1E9913CB3C0E582936D7276DDC4C805DA/11/ja"
"特開2019-205966","特願2018-102413","2018/05/29","2019/12/05","ＣＯ２膜分離方法","イーセップ株式会社","B01D53/14,220,B01D71/02,B01D61/00,B01D53/18,110,C02F1/20@A","(57)【要約】
【課題】例えば、燃焼排ガス、天然ガス、バイオガス、<BR>化学プロセスガスなどの各種ガスから二酸化炭素を分離<BR>する二酸化炭素回収方法において、二酸化炭素吸収液の<BR>使用量を大幅削減することのできる、二酸化炭素の分離<BR>方法を提供する。
【解決手段】CO2吸収液と接触させて被処理ガス中のCO2<BR>を除去するCO2吸収工程と、吸収液中のCO2を除去して吸<BR>収液を再生する工程とを具備するCO2分離方法において<BR>、CO2吸収工程へと導入される被処理ガス中のCO2が、マ<BR>イクロ・ナノバブル化手段によりマイクロ・ナノバブル<BR>化された状態にて吸収液中に供給され、CO2を吸収したC<BR>O2リッチ溶液を液状のまま、CO2を選択的に透過させる<BR>分離膜を具備する膜モジュールへ導き、膜分離によりCO<BR>2を分離除去して、CO2吸収液を再生することを特徴とす<BR>る。
【選択図】図１
","特開2019-205966","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-205966/99252DFBFC9AD4DAF1DC24E059CDB4C4CC0C6185869CEE901BDC18D97AE86B3C/11/ja"
"特開2019-205952","特願2016-194494","2016/09/30","2019/12/05","二酸化炭素吸収装置および電子機器","シャープ株式会社,国立大学法人埼玉大学","B01D53/14,100,B01J20/10@A","(57)【要約】
【課題】簡便な構成によって、二酸化炭素吸収材におけ<BR>る二酸化炭素（ＣＯ２）の吸収量を制御する。
【解決手段】二酸化炭素吸収装置（１）において、二酸<BR>化炭素吸収材（１０）は、４価のリチウムシリケートを<BR>含んでいる。そして、二酸化炭素吸収装置（１）は、二<BR>酸化炭素吸収材（１０）および水分を保持し、保持した<BR>当該水分の少なくとも一部を当該二酸化炭素吸収材（１<BR>０）に供給する保持部（１１）と、保持部（１１）に対<BR>して水分を供給する水分供給部（１２）と、水分供給部<BR>（１２）の動作を制御する添加量設定部（１３２）と、<BR>をさらに備えている。
【選択図】図１
","特開2019-205952","","","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2019-205952/2B1274D03188F0936ABC4A905544BF0CD6BC27207D20001FE9C317610CB791BE/11/ja"
