"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2022-190762","特願2021-099172","2021/06/15","2022/12/27","アークスタッド溶接方法およびアークスタッド溶接装置","トヨタ自動車株式会社","B23K9/20@A,B23K9/20@D","特開2022-190762","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-190762/1957A84587141166A97442A657BB18D84B28E3FD35A74C5310DFC5F39E283624/11/ja"
"特開2022-177565","特願2021-083916","2021/05/18","2022/12/01","アークスタッド溶接装置、および、アークスタッド溶接方法","トヨタ自動車株式会社","B23K9/073,550,B23K9/20@A,B23K31/00@N","特開2022-177565","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-177565/FA10C55CA41DA32D671FCA05F74227F56FF1D29A2029D1F907ADAA4E8BF5302D/11/ja"
"実登3239948","実願2022-003220","2022/09/28","2022/11/25","圧電振動式レベルスイッチ","桓達科技股▲ふん▼有限公司","G01F23/22@H","","","実登3239948","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3239948/6647013BABB3C8AF27C90D54BD795D46A4AADFB5FCCC425DE7EECBF859F8A556/25/ja"
"特開2022-176012","特願2021-103643","2021/05/12","2022/11/25","コンデンサ放電型溶接装置及びスタッド溶接部の形成方法","一文機工株式会社","B23K9/20@G,B23K9/20@F,B23K9/073,550","特開2022-176012","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-176012/B1AFECE57D5CA767C17176A6490E11C8028AC7C4565EF6712E699E43A225B86C/11/ja"
"特開2022-165460","特願2021-070783","2021/04/20","2022/11/01","既存岸壁の改良構造及び改良方法","ＪＦＥエンジニアリング株式会社,ＪＦＥスチール株式会社","E02B3/06,E02D27/52@A","特開2022-165460","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-165460/2DD31C5D3EBBC89D739C4628A098D84DD3CD09C3F36C30E49747E9DD3BBDC704/11/ja"
"特開2022-165458","特願2021-070781","2021/04/20","2022/11/01","既存岸壁の改良構造及び改良方法","ＪＦＥエンジニアリング株式会社,ＪＦＥスチール株式会社","E02B3/06,E02D27/52@A","特開2022-165458","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-165458/FD722703A18621F750BC949A63198761658050E5355FF6AA54D745FBAD169938/11/ja"
"特開2022-162278","特願2021-067020","2021/04/12","2022/10/24","ずれ止めせん断機構及びリジットカラー","ショーボンド建設株式会社","E01D19/12,E04B5/02@T,E04B1/48@F,E04B1/58,603","特開2022-162278","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-162278/537EA7A03BF3D770EB9E8817CFD6B189ACB929520A6C2C34E08ED83136C58331/11/ja"
"特開2022-157957","特願2021-062512","2021/04/01","2022/10/14","アークスタッド溶接装置、およびアークスタッド溶接方法","トヨタ自動車株式会社,日本スタッドウェルディング株式会社","B23K9/073,550,B23K9/20@D","特開2022-157957","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-157957/1C043EE347E92D501EF221542AC08C998E43CEDCF6DC121F119EF7680FF54961/11/ja"
"特開2022-148060","特願2021-049587","2021/03/24","2022/10/06","補強方法及び回転摩擦圧接接合構造","株式会社大林組","B23K20/12@D","特開2022-148060","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-148060/A7277722A605ED6D5302D5BC99D0D7FD7EA844107A1BB95B39CD19E6E2B7D243/11/ja"
"特開2022-147594","特願2021-048905","2021/03/23","2022/10/06","補強構造、及び、補強方法","株式会社大林組","B23K9/20@A","特開2022-147594","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-147594/94BC4FECE6334C9856AE4C1EBD15A30A498F0C367CD828CC2EE90D21C386C6DF/11/ja"
